Time,LSTM_Pred,Time in state
2/18/2026 20:34,CYCLESTART,00:05.0
2/18/2026 20:34,INCYCLE,00:01.0
2/18/2026 20:34,CYCLESTART,00:03.0
2/18/2026 20:34,INCYCLE,00:01.0
2/18/2026 20:34,CYCLESTART,00:02.0
2/18/2026 20:34,INCYCLE,00:01.0
2/18/2026 20:34,CYCLESTART,00:01.0
2/18/2026 20:34,INCYCLE,00:02.0
2/18/2026 20:34,CYCLESTART,00:02.0
2/18/2026 20:34,INCYCLE,00:04.0
2/18/2026 20:34,CYCLESTART,00:03.0
2/18/2026 20:34,INCYCLE,00:01.0
2/18/2026 20:34,CYCLESTART,00:07.0
2/18/2026 20:34,INCYCLE,00:03.0
2/18/2026 20:34,CYCLESTART,00:02.0
2/18/2026 20:34,INCYCLE,00:04.0
2/18/2026 20:34,CYCLESTART,00:01.0
2/18/2026 20:34,INCYCLE,00:02.0
2/18/2026 20:34,CYCLESTART,00:02.0
2/18/2026 20:34,INCYCLE,00:02.0
2/18/2026 20:34,CYCLESTART,00:07.0
2/18/2026 20:34,INCYCLE,00:18.0
2/18/2026 20:35,CYCLESTART,00:38.5
2/18/2026 20:35,IDLE,00:03.0
2/18/2026 20:35,CYCLESTART,00:06.0
2/18/2026 20:36,IDLE,00:14.0
2/18/2026 20:36,CYCLESTART,00:01.0
2/18/2026 20:36,IDLE,00:40.0
2/18/2026 20:36,CYCLESTART,00:04.0
2/18/2026 20:37,IDLE,00:03.0
2/18/2026 20:37,CYCLESTART,00:03.0
2/18/2026 20:37,IDLE,00:01.0
2/18/2026 20:37,CYCLESTART,00:01.0
2/18/2026 20:37,IDLE,00:06.0
2/18/2026 20:37,CYCLESTART,00:24.0
2/18/2026 20:37,IDLE,00:02.0
2/18/2026 20:37,CYCLESTART,00:02.0
2/18/2026 20:37,IDLE,00:02.0
2/18/2026 20:37,CYCLESTART,00:10.0
2/18/2026 20:37,IDLE,00:01.0
2/18/2026 20:37,CYCLESTART,00:04.0
2/18/2026 20:38,IDLE,00:02.0
2/18/2026 20:38,CYCLESTART,00:01.0
2/18/2026 20:38,IDLE,00:02.0
2/18/2026 20:38,CYCLESTART,39:59.0
2/18/2026 22:18,IDLE,00:01.0
2/18/2026 22:18,CYCLESTART,35:59.1
2/18/2026 22:54,IDLE,00:15.0
2/18/2026 22:54,CYCLESTART,00:03.0
2/18/2026 22:54,IDLE,00:03.0
2/18/2026 22:54,CYCLESTART,00:03.0
2/18/2026 22:54,IDLE,00:04.0
2/18/2026 22:54,CYCLESTART,00:05.5
2/18/2026 22:54,IDLE,00:06.0
2/18/2026 22:54,CYCLESTART,00:02.0
2/18/2026 22:54,IDLE,00:03.0
